x[m], alpha[-], pressure[Pa]
0.125, 2.18685718e-01, 1.001045965918e+05
0.375, 2.36129114e-01, 1.001058197910e+05
0.625, 2.52461039e-01, 1.001070388735e+05
0.875, 2.67792555e-01, 1.001082539323e+05
1.125, 2.82216299e-01, 1.001094647841e+05
1.375, 2.95805713e-01, 1.001106706334e+05
1.625, 3.08612071e-01, 1.001118694557e+05
1.875, 3.20659748e-01, 1.001130570522e+05
2.125, 3.31940734e-01, 1.001142258085e+05
2.375, 3.42409910e-01, 1.001153632710e+05
2.625, 3.51982727e-01, 1.001164507052e+05
2.875, 3.60536672e-01, 1.001174617826e+05
3.125, 3.67917288e-01, 1.001183614770e+05
3.375, 3.73948712e-01, 1.001191051507e+05
3.625, 3.78447933e-01, 1.001196377362e+05
3.875, 3.81241405e-01, 1.001198928978e+05
4.125, 3.82182361e-01, 1.001197921027e+05
4.375, 3.81167145e-01, 1.001192436424e+05
4.625, 3.78149053e-01, 1.001181418113e+05
4.875, 3.73148437e-01, 1.001163666645e+05
5.125, 3.66258141e-01, 1.001137850341e+05
5.375, 3.57643717e-01, 1.001102537559e+05
5.625, 3.47538212e-01, 1.001056262998e+05
5.875, 3.36231751e-01, 1.000997640762e+05
6.125, 3.24056599e-01, 1.000925534189e+05
6.375, 3.11368819e-01, 1.000839283560e+05
6.625, 2.98528076e-01, 1.000738975728e+05
6.875, 2.85877366e-01, 1.000625715003e+05
7.125, 2.73724535e-01, 1.000501828138e+05
7.375, 2.62327273e-01, 1.000370920662e+05
7.625, 2.51882847e-01, 1.000237712907e+05
7.875, 2.42523282e-01, 1.000107631634e+05
8.125, 2.34316009e-01, 9.999862086727e+04
8.375, 2.27269388e-01, 9.998784118641e+04
8.625, 2.21341970e-01, 9.997880678430e+04
8.875, 2.16454071e-01, 9.997175097230e+04
9.125, 2.12500135e-01, 9.996675071736e+04
9.375, 2.09360518e-01, 9.996374492714e+04
9.625, 2.06911694e-01, 9.996256899376e+04
9.875, 2.05034240e-01, 9.996299489469e+04
10.125, 2.03618424e-01, 9.996476812531e+04
10.375, 2.02567537e-01, 9.996763640689e+04
10.625, 2.01799300e-01, 9.997136864843e+04
10.875, 2.01245839e-01, 9.997576506529e+04
11.125, 2.00852666e-01, 9.998066052827e+04
11.375, 2.00577107e-01, 9.998592366766e+04
11.625, 2.00386747e-01, 9.999145084706e+04
11.875, 2.00256103e-01, 9.999699060182e+04
