x[m], vl[m/s], vg[m/s]
0, 1.00000000e+01, 0.00000000e+00
0.25, 1.02391578e+01, -5.79824503e-03
0.5, 1.04729760e+01, -1.12823173e-02
0.75, 1.07017942e+01, -1.65612475e-02
1, 1.09259168e+01, -2.17560357e-02
1.25, 1.11456150e+01, -2.70727830e-02
1.5, 1.13611276e+01, -3.29154759e-02
1.75, 1.15726561e+01, -4.00440604e-02
2, 1.17803570e+01, -4.97675659e-02
2.25, 1.19843287e+01, -6.41465174e-02
2.5, 1.21845952e+01, -8.61702543e-02
2.75, 1.23810883e+01, -1.19877222e-01
3, 1.25736308e+01, -1.70398991e-01
3.25, 1.27619240e+01, -2.43926212e-01
3.5, 1.29455423e+01, -3.47609703e-01
3.75, 1.31239370e+01, -4.89416988e-01
4, 1.32964506e+01, -6.77962093e-01
4.25, 1.34623406e+01, -9.22316237e-01
4.5, 1.36208135e+01, -1.23179282e+00
4.75, 1.37710637e+01, -1.61568583e+00
5, 1.39123179e+01, -2.08292937e+00
5.25, 1.40438793e+01, -2.64164059e+00
5.5, 1.41651690e+01, -3.29851072e+00
5.75, 1.42757619e+01, -4.05802396e+00
6, 1.43754137e+01, -4.92151491e+00
6.25, 1.44640783e+01, -5.88612563e+00
6.5, 1.45419129e+01, -6.94379233e+00
6.75, 1.46092731e+01, -8.08046797e+00
7, 1.46666960e+01, -9.27584553e+00
7.25, 1.47148757e+01, -1.05038503e+01
7.5, 1.47546307e+01, -1.17340790e+01
7.75, 1.47868667e+01, -1.29341639e+01
8, 1.48125363e+01, -1.40727749e+01
8.25, 1.48325987e+01, -1.51227246e+01
8.5, 1.48479822e+01, -1.60635449e+01
8.75, 1.48595519e+01, -1.68830077e+01
9, 1.48680854e+01, -1.75773534e+01
9.25, 1.48742578e+01, -1.81503375e+01
9.5, 1.48786363e+01, -1.86114722e+01
9.75, 1.48816825e+01, -1.89739430e+01
10, 1.48837607e+01, -1.92526246e+01
10.25, 1.48851510e+01, -1.94624713e+01
10.5, 1.48860624e+01, -1.96173938e+01
10.75, 1.48866477e+01, -1.97296089e+01
11, 1.48870152e+01, -1.98093713e+01
11.25, 1.48872406e+01, -1.98649778e+01
11.5, 1.48873753e+01, -1.99029116e+01
11.75, 1.48874610e+01, -1.99283204e+01
12, 1.48874950e+01, -1.99625185e+01
